TransData v1.2
Copyright (c) 2001-2006 by George Moromisato. All Rights Reserved.

Loading...done.
Level	Ship	Speed	Thrust	Maneuver	Armor	Weapon	Launcher	Shields	FireRate	FireAccuracy	Score
6	Molotok bounty hunter	high	medium	medium	5.segment of ceralloy armor (x4)	6.Dragonfly missile system	5.MAG launcher	4.class III deflector	Fast	85% (Average)	675
5	Sung transport	low	low	low	5.segment of ceralloy armor (x36)	4.particle beam weapon	0.none	5.Yoroi S100 shield generator	Normal	90% (Special)	470
4	Wind slaver	high	medium	high	3.segment of heavy ceramic armor (x4)	5.Shuriken neutron blaster	0.none	0.none	Very Fast	90% (Special)	320
5	Steel slaver	low	low	low	5.segment of ceralloy armor (x4)	5.CyberDeck disarm	0.none	5.Yoroi S100 shield generator	Normal	90% (Special)	475
6	Earth Slaver	low	low	low	5.segment of ceralloy armor (x12)	6.Nandao bolt cannon	0.none	5.Yoroi S100 shield generator	Fast	95% (Very Special)	885
9	Commonwealth Star Carrier	low	low	low	9.segment of P1000 Hexphase armor (x36)	6.TeV 9 blaster	0.none	0.none	Extremely Fast	95% (Very Special)	2245(2330)
9	Commonwealth Star Carrier	low	low	low	9.segment of P1000 Hexphase armor (x36)	6.TeV 9 blaster	0.none	0.none	Extremely Fast	95% (Very Special)	2245(2330)
10	Aquila-class cruiser	medium	low	low	8.segment of P250 Hexphase armor (x24)	7.Katana star cannon	9.NAMI heavy launcher	8.R9 deflector	Very Fast	95% (Very Special)	2835(2160)
11	Commonwealth Star Carrier	low	low	low	9.segment of P1000 Hexphase armor (x36)	7.Katana star cannon	9.NAMI heavy launcher	0.none	Extremely Fast	95% (Very Special)	3655
10	Commonwealth Star Carrier	low	low	low	9.segment of P1000 Hexphase armor (x36)	6.TeV 9 blaster	9.NAMI heavy launcher	0.none	Extremely Fast	95% (Very Special)	2855
6	Sandstorm-class gunship	medium	medium	high	6.segment of light Tharsis plate (x4)	7.Ares lightning cannon	0.none	0.none	Fast	85% (Average)	805
6	Ares sentry	low	low	medium	6.segment of light Tharsis plate (x4)	9.Ares archcannon	0.none	0.none	Normal	90% (Special)	800
7	Polar-class freighter	low	low	low	6.segment of light Tharsis plate (x36)	7.Ares lightning cannon	0.none	0.none	Fast	95% (Very Special)	1150
8	Tundra-class heavy gunship	medium	low	medium	8.segment of heavy Tharsis plate (x4)	8.Ares micronuke cannon	0.none	6.Cydonian shield generator	Fast	90% (Special)	1445
8	Cometfall-class missileship	medium	low	low	8.segment of heavy Tharsis plate (x12)	7.Ares lightning cannon	9.Ares launcher	6.Cydonian shield generator	Fast	90% (Special)	1835
13	Iocrym-class command ship	low	low	low	12.segment of Iocrym armor (x36)	13.Quantumsphere disintegrator	0.none	13.Iocrym cocoon	Fast	95% (Very Special)	6310
3	Plague-class gunship	medium	low	medium	3.segment of hardened reactive armor (x2)	4.actinide waste cannon	0.none	0.none	Very Fast	85% (Average)	180
4	Revelations-class missileship	medium	low	low	3.segment of hardened reactive armor (x4)	1.laser cannon	4.NAMI missile launcher	0.none	Fast	90% (Special)	220
4	Heliotrope gunship	medium	high	medium	3.segment of light plasteel armor (x2)	3.blinder cannon	0.none	0.none	Very Fast	85% (Average)	220
4	Heliotrope destroyer	low	low	medium	4.segment of solar armor (x12)	5.sunflare cannon	0.none	3.Solon shield generator	Fast	85% (Average)	325
5	Xenophobe fighter	high	medium	high	4.segment of light meteorsteel (x2)	5.lancer cannon	0.none	0.none	Fast	90% (Special)	425
7	Xenophobe defender	low	low	low	5.segment of heavy meteorsteel (x12)	6.mark III howitzer	0.none	0.none	Fast	90% (Special)	975
8	Xenophobe worldship	low	low	low	6.worldship armor plate (x24)	7.mark V howitzer	0.none	0.none	Very Fast	90% (Special)	1690
8	Ventari destroyer	low	low	low	7.segment of light orthosteel armor (x12)	7.ion disruptor	0.none	6.Yoroi S500 shield generator	Fast	90% (Special)	1575
4	Meth enforcer	medium	medium	high	4.segment of polyceramic armor (x2)	4.slam cannon	0.none	0.none	Very Fast	95% (Very Special)	320
1	Centauri raider	high	medium	high	1.segment of titanium armor (x2)	1.light recoilless cannon	0.none	0.none	Normal	80% (Average)	30
3	Centauri command ship	low	low	low	3.segment of light plasteel armor (x4)	3.AK15 Partisan cannon	0.none	0.none	Fast	70% (Poor)	140
6	Kobol gunship	medium	medium	medium	6.segment of blast plate (x4)	7.dual TeV 9 blaster	0.none	0.none	Very Fast	85% (Average)	805
6	Kobol gunship	medium	medium	medium	6.segment of blast plate (x4)	7.omnidirectional TeV 9 blaster	0.none	0.none	Very Fast	85% (Average)	805
7	Kobol gunship	medium	medium	medium	6.segment of blast plate (x4)	0.none	9.Rasiermesser launcher	0.none	Very Fast	85% (Average)	990
7	Luminous drone	medium	medium	high	7.segment of Luminous armature (x4)	8.ion blaster	0.none	0.none	Fast	90% (Special)	1285(1365)
7	Hurin-class destroyer	low	low	low	6.segment of Duralloy armor (x12)	4.slam cannon	0.none	5.superconducting shield generator	Very Fast	90% (Special)	1020(1110)
4	Zoanthrope raider	medium	medium	medium	3.segment of Dwarg chiton armor (x2)	4.Dwarg xiphon cannon	0.none	0.none	Very Fast	90% (Special)	240(320)
6	Dwarg master	high	low	medium	5.segment of Dwarg catoptric armor (x4)	5.Dwarg cnidocyst cannon	0.none	0.none	Very Fast	95% (Very Special)	785(545)
7	Zoanthrope behemoth	low	low	low	7.segment of Dwarg holochroal armor (x12)	6.Dwarg behemoth cannon	0.none	0.none	Very Fast	95% (Very Special)	910(885)
1	Zulu-class gunship	medium	medium	medium	2.segment of ceramic armor (x2)	1.recoilless cannon	0.none	0.none	Normal	80% (Average)	45
3	Sotho-class gunship	medium	medium	medium	3.segment of heavy ceramic armor (x2)	3.DK10 Arbalest cannon	0.none	1.class I deflector	Very Fast	90% (Special)	175
3	Oromo-class gunship	medium	medium	medium	2.segment of ceramic armor (x2)	3.DK10 Arbalest cannon	0.none	0.none	Fast	85% (Average)	105
2	Zulu II-class gunship	medium	medium	medium	2.segment of ceramic armor (x2)	2.heavy recoilless cannon	0.none	0.none	Fast	90% (Special)	70
7	Tripoli-class destroyer	low	low	low	6.segment of blast plate (x12)	3.turbolaser cannon	8.NAMI missile launcher	4.class III deflector	Fast	95% (Very Special)	1215(615)
4	Drake-class missileship	low	low	low	5.segment of light blast plate (x12)	1.laser cannon	3.NAMI missile launcher	0.none	Fast	90% (Special)	350
4	Viking II-class gunship	medium	low	medium	4.segment of advanced reactive armor (x2)	4.dual turbolaser cannon	0.none	2.class II deflector	Fast	90% (Special)	240
4	Marauder raid platform	low	low	low	3.double titanium barricade (x36)	3.turbolaser cannon	0.none	0.none	Fast	95% (Very Special)	310
5	Barbary-class gunship	high	medium	medium	5.segment of light blast plate (x2)	5.EMP cannon	0.none	2.class II deflector	Fast	90% (Special)	520
4	Repentant-class gunship	high	medium	high	4.segment of advanced reactive armor (x4)	4.Penitent cannon	0.none	2.class II deflector	Very Fast	90% (Special)	340
5	Atonement-class heavy gunship	medium	medium	medium	5.segment of heavy plasteel armor (x4)	4.Penitent cannon	4.NAMI missile launcher	4.class III deflector	Very Fast	90% (Special)	545
2	Himal interceptor	high	medium	medium	1.segment of light titanium armor (x2)	2.Bolide laser blaster	0.none	0.none	Normal	75% (Average)	55
2	Urak sentinel	medium	low	high	2.segment of light Urak armor (x2)	2.Urak mass driver	0.none	0.none	Very Fast	90% (Special)	85
6	Urak destroyer	low	low	low	4.segment of heavy Urak armor (x12)	5.Urak howitzer	0.none	0.none	Very Fast	90% (Special)	680(380)
1	Borer-class gunship	low	low	low	2.segment of reactive armor (x2)	2.mining laser	0.none	0.none	Normal	70% (Poor)	25
2	Borer II-class gunship	low	medium	medium	2.segment of reactive armor (x2)	2.mining laser	0.none	1.class I deflector	Fast	90% (Special)	85
1	Hammerhead-class gunship	medium	medium	high	1.segment of titanium armor (x2)	1.recoilless cannon	0.none	1.class I deflector	Normal	80% (Average)	35
3	Hammerhead II-class gunship	medium	medium	high	2.segment of heavy titanium armor (x2)	3.dual recoilless cannon	0.none	1.class I deflector	Fast	90% (Special)	165
2	Earthzone-class armed shuttle	medium	low	medium	2.segment of heavy titanium armor (x4)	1.laser cannon	0.none	1.class I deflector	Normal	85% (Average)	70
1	Hornet-class battlepod	high	high	high	1.segment of light titanium armor (x1)	1.laser cannon	0.none	0.none	Fast	70% (Poor)	40
5	Ranx gunship	high	medium	medium	5.segment of hardened plasteel armor (x4)	5.Akan 30 cannon	0.none	4.class III deflector	Fast	90% (Special)	520
7	Ranx dreadnought	low	low	low	8.segment of transuranic armor (x24)	7.kiloton cannon	0.none	0.none	Normal	90% (Special)	1350
4	Ferian miner	medium	low	medium	4.segment of plasteel armor (x4)	6.plasma torch	0.none	0.none	Normal	85% (Average)	335
9	Gaian processor	low	low	low	6.worldship armor plate (x24)	9.Gaian demolition cannon	0.none	0.none	Fast	90% (Special)	2415
6	Sapphire-class yacht (debug VI)	medium	low	medium	6.segment of Duralloy armor (x4)	4.Dwarg xiphon cannon	6.Makayev launcher	6.Yoroi S500 shield generator	Fast	90% (Special)	855(90)
7	Sapphire-class yacht (debug VII)	medium	low	medium	6.segment of Duralloy armor (x4)	6.TeV 9 blaster	6.Makayev launcher	7.Mammoth 50MW deflector	Fast	90% (Special)	1170(90)
9	Sapphire-class yacht (debug X)	medium	low	medium	6.segment of Duralloy armor (x4)	8.Fusionfire howitzer	9.NAMI heavy launcher	9.Iocrym veil	Fast	90% (Special)	1965(90)
