TransData v2.3
Copyright (c) 2001-2011 by George Moromisato. All Rights Reserved.

Loading...done.
pass 1...
pass 2...
pass 3...
pass 4...
pass 5...
pass 6...
pass 7...
pass 8...
pass 9...
pass 10...
LABEL STATISTICS

Total labels: 300.00
ancientEnv,asymorphEco,ErebienRace,level11: 0.40 (0.13%)
ancientEnv,asymorphEco,ErebienRace,level12: 0.70 (0.23%)
ancientEnv,asymorphEco,ErebienRace,level13: 0.90 (0.30%)
ancientEnv,asymorphEco,ErebienRace,level14: 0.20 (0.06%)
ancientEnv,asymorphEco,ErebienRace,ReenuRace: 0.30 (0.10%)
ancientEnv,asymorphEco,ErebienRace,ReenuRace,level11: 0.10 (0.03%)
ancientEnv,asymorphEco,ErebienRace,ReenuRace,level13: 0.10 (0.03%)
ancientEnv,asymorphEco,ErebienRace,ReenuRace,level14: 0.10 (0.03%)
ancientEnv,asymorphEco,GromeRace: 1.80 (0.60%)
ancientEnv,asymorphEco,GromeRace,level11: 0.80 (0.26%)
ancientEnv,asymorphEco,GromeRace,level12: 0.50 (0.16%)
ancientEnv,asymorphEco,GromeRace,level13: 0.20 (0.06%)
ancientEnv,asymorphEco,GromeRace,level14: 0.10 (0.03%)
ancientEnv,asymorphEco,JaxRace: 3.30 (1.10%)
ancientEnv,asymorphEco,JaxRace,level11: 1.40 (0.46%)
ancientEnv,asymorphEco,JaxRace,level12: 1.00 (0.33%)
ancientEnv,asymorphEco,JaxRace,level13: 0.50 (0.16%)
ancientEnv,asymorphEco,level11: 2.70 (0.90%)
ancientEnv,asymorphEco,level12: 1.80 (0.60%)
ancientEnv,asymorphEco,level13: 1.30 (0.43%)
ancientEnv,asymorphEco,level14: 0.30 (0.10%)
ancientEnv,asymorphEco,ReenuRace: 1.20 (0.40%)
ancientEnv,asymorphEco,ReenuRace,level11: 0.40 (0.13%)
ancientEnv,asymorphEco,ReenuRace,level12: 0.20 (0.06%)
ancientEnv,asymorphEco,ReenuRace,level13: 0.40 (0.13%)
ancientEnv,asymorphEco,ReenuRace,level14: 0.20 (0.06%)
ancientEnv,asymorphEco,TesiphonRace: 1.20 (0.40%)
ancientEnv,asymorphEco,TesiphonRace,JaxRace: 0.90 (0.30%)
ancientEnv,asymorphEco,TesiphonRace,JaxRace,level11: 0.50 (0.16%)
ancientEnv,asymorphEco,TesiphonRace,JaxRace,level12: 0.10 (0.03%)
ancientEnv,asymorphEco,TesiphonRace,level11: 0.60 (0.20%)
ancientEnv,asymorphEco,TesiphonRace,level12: 0.20 (0.06%)
ancientEnv,asymorphEco,TesiphonRace,level13: 0.10 (0.03%)
ancientEnv,asymorphEco,TesiphonRace,ReenuRace: 0.30 (0.10%)
ancientEnv,asymorphEco,TesiphonRace,ReenuRace,level11: 0.10 (0.03%)
ancientEnv,asymorphEco,TesiphonRace,ReenuRace,level12: 0.10 (0.03%)
ancientEnv,asymorphEco,TesiphonRace,ReenuRace,level13: 0.10 (0.03%)
ancientEnv,asymorphEco,TorQuanRace: 1.80 (0.60%)
ancientEnv,asymorphEco,TorQuanRace,GromeRace: 1.30 (0.43%)
ancientEnv,asymorphEco,TorQuanRace,GromeRace,level11: 0.80 (0.26%)
ancientEnv,asymorphEco,TorQuanRace,GromeRace,level12: 0.30 (0.10%)
ancientEnv,asymorphEco,TorQuanRace,JaxRace: 0.50 (0.16%)
ancientEnv,asymorphEco,TorQuanRace,JaxRace,level11: 0.20 (0.06%)
ancientEnv,asymorphEco,TorQuanRace,JaxRace,level12: 0.20 (0.06%)
ancientEnv,asymorphEco,TorQuanRace,JaxRace,level13: 0.10 (0.03%)
ancientEnv,asymorphEco,TorQuanRace,level11: 1.00 (0.33%)
ancientEnv,asymorphEco,TorQuanRace,level12: 0.50 (0.16%)
ancientEnv,asymorphEco,TorQuanRace,level13: 0.10 (0.03%)
ancientEnv,chitometallicEco: 2.20 (0.73%)
ancientEnv,chitometallicEco,EfreetRace: 1.00 (0.33%)
ancientEnv,chitometallicEco,EfreetRace,GromeRace: 0.60 (0.20%)
ancientEnv,chitometallicEco,EfreetRace,GromeRace,level11: 0.10 (0.03%)
ancientEnv,chitometallicEco,EfreetRace,GromeRace,level12: 0.40 (0.13%)
ancientEnv,chitometallicEco,EfreetRace,GromeRace,level13: 0.10 (0.03%)
ancientEnv,chitometallicEco,EfreetRace,JaxRace: 0.30 (0.10%)
ancientEnv,chitometallicEco,EfreetRace,JaxRace,level11: 0.10 (0.03%)
ancientEnv,chitometallicEco,EfreetRace,JaxRace,level12: 0.20 (0.06%)
ancientEnv,chitometallicEco,EfreetRace,level11: 0.20 (0.06%)
ancientEnv,chitometallicEco,EfreetRace,level12: 0.70 (0.23%)
ancientEnv,chitometallicEco,EfreetRace,level13: 0.10 (0.03%)
ancientEnv,chitometallicEco,EfreetRace,ReenuRace: 0.10 (0.03%)
ancientEnv,chitometallicEco,EfreetRace,ReenuRace,level12: 0.10 (0.03%)
ancientEnv,chitometallicEco,ErebienRace: 0.60 (0.20%)
ancientEnv,chitometallicEco,ErebienRace,GromeRace: 0.10 (0.03%)
ancientEnv,chitometallicEco,ErebienRace,GromeRace,level11: 0.10 (0.03%)
ancientEnv,chitometallicEco,ErebienRace,JaxRace: 0.30 (0.10%)
ancientEnv,chitometallicEco,ErebienRace,JaxRace,level12: 0.20 (0.06%)
ancientEnv,chitometallicEco,ErebienRace,JaxRace,level13: 0.10 (0.03%)
ancientEnv,chitometallicEco,ErebienRace,level11: 0.10 (0.03%)
ancientEnv,chitometallicEco,ErebienRace,level12: 0.20 (0.06%)
ancientEnv,chitometallicEco,ErebienRace,level13: 0.20 (0.06%)
ancientEnv,chitometallicEco,ErebienRace,level14: 0.10 (0.03%)
ancientEnv,chitometallicEco,ErebienRace,ReenuRace: 0.20 (0.06%)
ancientEnv,chitometallicEco,ErebienRace,ReenuRace,level13: 0.10 (0.03%)
ancientEnv,chitometallicEco,ErebienRace,ReenuRace,level14: 0.10 (0.03%)
ancientEnv,chitometallicEco,GromeRace: 0.90 (0.30%)
ancientEnv,chitometallicEco,GromeRace,level11: 0.30 (0.10%)
ancientEnv,chitometallicEco,GromeRace,level12: 0.50 (0.16%)
ancientEnv,chitometallicEco,GromeRace,level13: 0.10 (0.03%)
ancientEnv,chitometallicEco,JaxRace: 0.70 (0.23%)
ancientEnv,chitometallicEco,JaxRace,level11: 0.20 (0.06%)
ancientEnv,chitometallicEco,JaxRace,level12: 0.40 (0.13%)
ancientEnv,chitometallicEco,JaxRace,level13: 0.10 (0.03%)
ancientEnv,chitometallicEco,level11: 0.60 (0.20%)
ancientEnv,chitometallicEco,level12: 1.10 (0.36%)
ancientEnv,chitometallicEco,level13: 0.30 (0.10%)
ancientEnv,chitometallicEco,level14: 0.10 (0.03%)
ancientEnv,chitometallicEco,ReenuRace: 0.60 (0.20%)
ancientEnv,chitometallicEco,ReenuRace,level11: 0.10 (0.03%)
ancientEnv,chitometallicEco,ReenuRace,level12: 0.20 (0.06%)
ancientEnv,chitometallicEco,ReenuRace,level13: 0.10 (0.03%)
ancientEnv,chitometallicEco,ReenuRace,level14: 0.10 (0.03%)
ancientEnv,chitometallicEco,TesiphonRace: 0.10 (0.03%)
ancientEnv,chitometallicEco,TesiphonRace,ReenuRace: 0.10 (0.03%)
ancientEnv,chitometallicEco,TorQuanRace: 0.50 (0.16%)
ancientEnv,chitometallicEco,TorQuanRace,GromeRace: 0.20 (0.06%)
ancientEnv,chitometallicEco,TorQuanRace,GromeRace,level11: 0.10 (0.03%)
ancientEnv,chitometallicEco,TorQuanRace,GromeRace,level12: 0.10 (0.03%)
ancientEnv,chitometallicEco,TorQuanRace,JaxRace: 0.10 (0.03%)
ancientEnv,chitometallicEco,TorQuanRace,JaxRace,level11: 0.10 (0.03%)
ancientEnv,chitometallicEco,TorQuanRace,level11: 0.30 (0.10%)
ancientEnv,chitometallicEco,TorQuanRace,level12: 0.20 (0.06%)
ancientEnv,chitometallicEco,TorQuanRace,ReenuRace: 0.20 (0.06%)
ancientEnv,chitometallicEco,TorQuanRace,ReenuRace,level11: 0.10 (0.03%)
ancientEnv,chitometallicEco,TorQuanRace,ReenuRace,level12: 0.10 (0.03%)
ancientEnv,crystallineEco: 5.00 (1.66%)
ancientEnv,crystallineEco,EfreetRace: 1.30 (0.43%)
ancientEnv,crystallineEco,EfreetRace,GromeRace: 0.20 (0.06%)
ancientEnv,crystallineEco,EfreetRace,GromeRace,level12: 0.20 (0.06%)
ancientEnv,crystallineEco,EfreetRace,JaxRace: 0.10 (0.03%)
ancientEnv,crystallineEco,EfreetRace,JaxRace,level13: 0.10 (0.03%)
ancientEnv,crystallineEco,EfreetRace,level11: 0.10 (0.03%)
ancientEnv,crystallineEco,EfreetRace,level12: 0.50 (0.16%)
ancientEnv,crystallineEco,EfreetRace,level13: 0.40 (0.13%)
ancientEnv,crystallineEco,EfreetRace,level14: 0.10 (0.03%)
ancientEnv,crystallineEco,EfreetRace,level15: 0.10 (0.03%)
ancientEnv,crystallineEco,EfreetRace,ReenuRace: 1.00 (0.33%)
ancientEnv,crystallineEco,EfreetRace,ReenuRace,level11: 0.10 (0.03%)
ancientEnv,crystallineEco,EfreetRace,ReenuRace,level12: 0.30 (0.10%)
ancientEnv,crystallineEco,EfreetRace,ReenuRace,level13: 0.30 (0.10%)
ancientEnv,crystallineEco,EfreetRace,ReenuRace,level14: 0.10 (0.03%)
ancientEnv,crystallineEco,EfreetRace,ReenuRace,level15: 0.10 (0.03%)
ancientEnv,crystallineEco,ErebienRace: 1.30 (0.43%)
ancientEnv,crystallineEco,ErebienRace,GromeRace: 0.60 (0.20%)
ancientEnv,crystallineEco,ErebienRace,GromeRace,level11: 0.20 (0.06%)
ancientEnv,crystallineEco,ErebienRace,GromeRace,level12: 0.20 (0.06%)
ancientEnv,crystallineEco,ErebienRace,GromeRace,level13: 0.10 (0.03%)
ancientEnv,crystallineEco,ErebienRace,GromeRace,level14: 0.10 (0.03%)
ancientEnv,crystallineEco,ErebienRace,JaxRace: 0.40 (0.13%)
ancientEnv,crystallineEco,ErebienRace,JaxRace,level11: 0.10 (0.03%)
ancientEnv,crystallineEco,ErebienRace,JaxRace,level12: 0.20 (0.06%)
ancientEnv,crystallineEco,ErebienRace,JaxRace,level13: 0.10 (0.03%)
ancientEnv,crystallineEco,ErebienRace,level11: 0.30 (0.10%)
ancientEnv,crystallineEco,ErebienRace,level12: 0.50 (0.16%)
ancientEnv,crystallineEco,ErebienRace,level13: 0.20 (0.06%)
ancientEnv,crystallineEco,ErebienRace,level14: 0.20 (0.06%)
ancientEnv,crystallineEco,ErebienRace,ReenuRace: 0.30 (0.10%)
ancientEnv,crystallineEco,ErebienRace,ReenuRace,level12: 0.10 (0.03%)
ancientEnv,crystallineEco,ErebienRace,ReenuRace,level14: 0.10 (0.03%)
ancientEnv,crystallineEco,GromeRace: 1.20 (0.40%)
ancientEnv,crystallineEco,GromeRace,level11: 0.30 (0.10%)
ancientEnv,crystallineEco,GromeRace,level12: 0.50 (0.16%)
ancientEnv,crystallineEco,GromeRace,level13: 0.20 (0.06%)
ancientEnv,crystallineEco,GromeRace,level14: 0.10 (0.03%)
ancientEnv,crystallineEco,JaxRace: 1.60 (0.53%)
ancientEnv,crystallineEco,JaxRace,level11: 0.30 (0.10%)
ancientEnv,crystallineEco,JaxRace,level12: 0.60 (0.20%)
ancientEnv,crystallineEco,JaxRace,level13: 0.30 (0.10%)
ancientEnv,crystallineEco,level11: 0.80 (0.26%)
ancientEnv,crystallineEco,level12: 1.80 (0.60%)
ancientEnv,crystallineEco,level13: 1.00 (0.33%)
ancientEnv,crystallineEco,level14: 0.50 (0.16%)
ancientEnv,crystallineEco,level15: 0.20 (0.06%)
ancientEnv,crystallineEco,ReenuRace: 2.20 (0.73%)
ancientEnv,crystallineEco,ReenuRace,level11: 0.20 (0.06%)
ancientEnv,crystallineEco,ReenuRace,level12: 0.70 (0.23%)
ancientEnv,crystallineEco,ReenuRace,level13: 0.50 (0.16%)
ancientEnv,crystallineEco,ReenuRace,level14: 0.40 (0.13%)
ancientEnv,crystallineEco,ReenuRace,level15: 0.20 (0.06%)
ancientEnv,crystallineEco,TesiphonRace: 0.50 (0.16%)
ancientEnv,crystallineEco,TesiphonRace,GromeRace: 0.10 (0.03%)
ancientEnv,crystallineEco,TesiphonRace,GromeRace,level11: 0.10 (0.03%)
ancientEnv,crystallineEco,TesiphonRace,JaxRace: 0.30 (0.10%)
ancientEnv,crystallineEco,TesiphonRace,JaxRace,level13: 0.10 (0.03%)
ancientEnv,crystallineEco,TesiphonRace,level11: 0.20 (0.06%)
ancientEnv,crystallineEco,TesiphonRace,level13: 0.10 (0.03%)
ancientEnv,crystallineEco,TesiphonRace,ReenuRace: 0.10 (0.03%)
ancientEnv,crystallineEco,TesiphonRace,ReenuRace,level11: 0.10 (0.03%)
ancientEnv,crystallineEco,TorQuanRace: 1.90 (0.63%)
ancientEnv,crystallineEco,TorQuanRace,GromeRace: 0.30 (0.10%)
ancientEnv,crystallineEco,TorQuanRace,GromeRace,level12: 0.10 (0.03%)
ancientEnv,crystallineEco,TorQuanRace,GromeRace,level13: 0.10 (0.03%)
ancientEnv,crystallineEco,TorQuanRace,JaxRace: 0.80 (0.26%)
ancientEnv,crystallineEco,TorQuanRace,JaxRace,level11: 0.20 (0.06%)
ancientEnv,crystallineEco,TorQuanRace,JaxRace,level12: 0.40 (0.13%)
ancientEnv,crystallineEco,TorQuanRace,level11: 0.20 (0.06%)
ancientEnv,crystallineEco,TorQuanRace,level12: 0.80 (0.26%)
ancientEnv,crystallineEco,TorQuanRace,level13: 0.30 (0.10%)
ancientEnv,crystallineEco,TorQuanRace,level14: 0.20 (0.06%)
ancientEnv,crystallineEco,TorQuanRace,level15: 0.10 (0.03%)
ancientEnv,crystallineEco,TorQuanRace,ReenuRace: 0.80 (0.26%)
ancientEnv,crystallineEco,TorQuanRace,ReenuRace,level12: 0.30 (0.10%)
ancientEnv,crystallineEco,TorQuanRace,ReenuRace,level13: 0.20 (0.06%)
ancientEnv,crystallineEco,TorQuanRace,ReenuRace,level14: 0.20 (0.06%)
ancientEnv,crystallineEco,TorQuanRace,ReenuRace,level15: 0.10 (0.03%)
ancientEnv,EfreetRace: 5.00 (1.66%)
ancientEnv,EfreetRace,GromeRace: 1.20 (0.40%)
ancientEnv,EfreetRace,GromeRace,level11: 0.30 (0.10%)
ancientEnv,EfreetRace,GromeRace,level12: 0.70 (0.23%)
ancientEnv,EfreetRace,GromeRace,level13: 0.20 (0.06%)
ancientEnv,EfreetRace,JaxRace: 1.10 (0.36%)
ancientEnv,EfreetRace,JaxRace,level11: 0.60 (0.20%)
ancientEnv,EfreetRace,JaxRace,level12: 0.40 (0.13%)
ancientEnv,EfreetRace,JaxRace,level13: 0.10 (0.03%)
ancientEnv,EfreetRace,level11: 1.70 (0.56%)
ancientEnv,EfreetRace,level12: 2.00 (0.66%)
ancientEnv,EfreetRace,level13: 0.80 (0.26%)
ancientEnv,EfreetRace,level14: 0.20 (0.06%)
ancientEnv,EfreetRace,level15: 0.10 (0.03%)
ancientEnv,EfreetRace,ReenuRace: 2.30 (0.76%)
ancientEnv,EfreetRace,ReenuRace,level11: 0.70 (0.23%)
ancientEnv,EfreetRace,ReenuRace,level12: 0.60 (0.20%)
ancientEnv,EfreetRace,ReenuRace,level13: 0.50 (0.16%)
ancientEnv,EfreetRace,ReenuRace,level14: 0.20 (0.06%)
ancientEnv,EfreetRace,ReenuRace,level15: 0.10 (0.03%)
ancientEnv,ErebienRace: 5.40 (1.80%)
ancientEnv,ErebienRace,GromeRace: 1.20 (0.40%)
ancientEnv,ErebienRace,GromeRace,level11: 0.30 (0.10%)
ancientEnv,ErebienRace,GromeRace,level12: 0.40 (0.13%)
ancientEnv,ErebienRace,GromeRace,level13: 0.30 (0.10%)
ancientEnv,ErebienRace,GromeRace,level14: 0.20 (0.06%)
ancientEnv,ErebienRace,JaxRace: 2.30 (0.76%)
ancientEnv,ErebienRace,JaxRace,level11: 0.50 (0.16%)
ancientEnv,ErebienRace,JaxRace,level12: 1.00 (0.33%)
ancientEnv,ErebienRace,JaxRace,level13: 0.60 (0.20%)
ancientEnv,ErebienRace,JaxRace,level14: 0.10 (0.03%)
ancientEnv,ErebienRace,level11: 1.20 (0.40%)
ancientEnv,ErebienRace,level12: 1.70 (0.56%)
ancientEnv,ErebienRace,level13: 1.60 (0.53%)
ancientEnv,ErebienRace,level14: 0.70 (0.23%)
ancientEnv,ErebienRace,ReenuRace: 1.70 (0.56%)
ancientEnv,ErebienRace,ReenuRace,level11: 0.40 (0.13%)
ancientEnv,ErebienRace,ReenuRace,level12: 0.30 (0.10%)
ancientEnv,ErebienRace,ReenuRace,level13: 0.50 (0.16%)
ancientEnv,ErebienRace,ReenuRace,level14: 0.40 (0.13%)
ancientEnv,GromeRace: 4.60 (1.53%)
ancientEnv,GromeRace,level11: 1.60 (0.53%)
ancientEnv,GromeRace,level12: 1.70 (0.56%)
ancientEnv,GromeRace,level13: 0.60 (0.20%)
ancientEnv,GromeRace,level14: 0.20 (0.06%)
ancientEnv,hydroidEco: 2.70 (0.90%)
ancientEnv,hydroidEco,EfreetRace: 1.10 (0.36%)
ancientEnv,hydroidEco,EfreetRace,GromeRace: 0.20 (0.06%)
ancientEnv,hydroidEco,EfreetRace,GromeRace,level11: 0.10 (0.03%)
ancientEnv,hydroidEco,EfreetRace,GromeRace,level13: 0.10 (0.03%)
ancientEnv,hydroidEco,EfreetRace,JaxRace: 0.20 (0.06%)
ancientEnv,hydroidEco,EfreetRace,JaxRace,level11: 0.10 (0.03%)
ancientEnv,hydroidEco,EfreetRace,JaxRace,level12: 0.10 (0.03%)
ancientEnv,hydroidEco,EfreetRace,level11: 0.60 (0.20%)
ancientEnv,hydroidEco,EfreetRace,level12: 0.40 (0.13%)
ancientEnv,hydroidEco,EfreetRace,level13: 0.10 (0.03%)
ancientEnv,hydroidEco,EfreetRace,ReenuRace: 0.50 (0.16%)
ancientEnv,hydroidEco,EfreetRace,ReenuRace,level11: 0.40 (0.13%)
ancientEnv,hydroidEco,EfreetRace,ReenuRace,level12: 0.10 (0.03%)
ancientEnv,hydroidEco,ErebienRace: 0.40 (0.13%)
ancientEnv,hydroidEco,ErebienRace,JaxRace: 0.10 (0.03%)
ancientEnv,hydroidEco,ErebienRace,JaxRace,level11: 0.10 (0.03%)
ancientEnv,hydroidEco,ErebienRace,level11: 0.30 (0.10%)
ancientEnv,hydroidEco,ErebienRace,level12: 0.10 (0.03%)
ancientEnv,hydroidEco,ErebienRace,ReenuRace: 0.30 (0.10%)
ancientEnv,hydroidEco,ErebienRace,ReenuRace,level11: 0.20 (0.06%)
ancientEnv,hydroidEco,ErebienRace,ReenuRace,level12: 0.10 (0.03%)
ancientEnv,hydroidEco,GromeRace: 0.50 (0.16%)
ancientEnv,hydroidEco,GromeRace,level11: 0.10 (0.03%)
ancientEnv,hydroidEco,GromeRace,level12: 0.10 (0.03%)
ancientEnv,hydroidEco,GromeRace,level13: 0.10 (0.03%)
ancientEnv,hydroidEco,JaxRace: 1.00 (0.33%)
ancientEnv,hydroidEco,JaxRace,level11: 0.30 (0.10%)
ancientEnv,hydroidEco,JaxRace,level12: 0.30 (0.10%)
ancientEnv,hydroidEco,JaxRace,level13: 0.10 (0.03%)
ancientEnv,hydroidEco,level11: 1.10 (0.36%)
ancientEnv,hydroidEco,level12: 0.90 (0.30%)
ancientEnv,hydroidEco,level13: 0.20 (0.06%)
ancientEnv,hydroidEco,ReenuRace: 0.90 (0.30%)
ancientEnv,hydroidEco,ReenuRace,level11: 0.60 (0.20%)
ancientEnv,hydroidEco,ReenuRace,level12: 0.30 (0.10%)
ancientEnv,hydroidEco,TesiphonRace: 0.30 (0.10%)
ancientEnv,hydroidEco,TesiphonRace,JaxRace: 0.30 (0.10%)
ancientEnv,hydroidEco,TesiphonRace,JaxRace,level11: 0.10 (0.03%)
ancientEnv,hydroidEco,TesiphonRace,level11: 0.10 (0.03%)
ancientEnv,hydroidEco,TorQuanRace: 0.90 (0.30%)
ancientEnv,hydroidEco,TorQuanRace,GromeRace: 0.30 (0.10%)
ancientEnv,hydroidEco,TorQuanRace,GromeRace,level12: 0.10 (0.03%)
ancientEnv,hydroidEco,TorQuanRace,JaxRace: 0.40 (0.13%)
ancientEnv,hydroidEco,TorQuanRace,JaxRace,level12: 0.20 (0.06%)
ancientEnv,hydroidEco,TorQuanRace,JaxRace,level13: 0.10 (0.03%)
ancientEnv,hydroidEco,TorQuanRace,level11: 0.10 (0.03%)
ancientEnv,hydroidEco,TorQuanRace,level12: 0.40 (0.13%)
ancientEnv,hydroidEco,TorQuanRace,level13: 0.10 (0.03%)
ancientEnv,hydroidEco,TorQuanRace,ReenuRace: 0.10 (0.03%)
ancientEnv,hydroidEco,TorQuanRace,ReenuRace,level12: 0.10 (0.03%)
ancientEnv,JaxRace: 6.70 (2.23%)
ancientEnv,JaxRace,level11: 2.20 (0.73%)
ancientEnv,JaxRace,level12: 2.30 (0.76%)
ancientEnv,JaxRace,level13: 1.00 (0.33%)
ancientEnv,JaxRace,level14: 0.10 (0.03%)
ancientEnv,level11: 5.40 (1.80%)
ancientEnv,level12: 5.80 (1.93%)
ancientEnv,level13: 3.10 (1.03%)
ancientEnv,level14: 1.10 (0.36%)
ancientEnv,level15: 0.20 (0.06%)
ancientEnv,primordialEco: 1.20 (0.40%)
ancientEnv,primordialEco,EfreetRace: 0.20 (0.06%)
ancientEnv,primordialEco,EfreetRace,GromeRace: 0.10 (0.03%)
ancientEnv,primordialEco,EfreetRace,GromeRace,level11: 0.10 (0.03%)
ancientEnv,primordialEco,EfreetRace,level11: 0.10 (0.03%)
ancientEnv,primordialEco,EfreetRace,ReenuRace: 0.10 (0.03%)
ancientEnv,primordialEco,ErebienRace: 0.80 (0.26%)
ancientEnv,primordialEco,ErebienRace,GromeRace: 0.10 (0.03%)
ancientEnv,primordialEco,ErebienRace,GromeRace,level12: 0.10 (0.03%)
ancientEnv,primordialEco,ErebienRace,JaxRace: 0.10 (0.03%)
ancientEnv,primordialEco,ErebienRace,JaxRace,level14: 0.10 (0.03%)
ancientEnv,primordialEco,ErebienRace,level11: 0.10 (0.03%)
ancientEnv,primordialEco,ErebienRace,level12: 0.20 (0.06%)
ancientEnv,primordialEco,ErebienRace,level13: 0.30 (0.10%)
ancientEnv,primordialEco,ErebienRace,level14: 0.20 (0.06%)
ancientEnv,primordialEco,ErebienRace,ReenuRace: 0.60 (0.20%)
ancientEnv,primordialEco,ErebienRace,ReenuRace,level11: 0.10 (0.03%)
ancientEnv,primordialEco,ErebienRace,ReenuRace,level12: 0.10 (0.03%)
ancientEnv,primordialEco,ErebienRace,ReenuRace,level13: 0.30 (0.10%)
ancientEnv,primordialEco,ErebienRace,ReenuRace,level14: 0.10 (0.03%)
ancientEnv,primordialEco,GromeRace: 0.20 (0.06%)
ancientEnv,primordialEco,GromeRace,level11: 0.10 (0.03%)
ancientEnv,primordialEco,GromeRace,level12: 0.10 (0.03%)
ancientEnv,primordialEco,JaxRace: 0.10 (0.03%)
ancientEnv,primordialEco,JaxRace,level14: 0.10 (0.03%)
ancientEnv,primordialEco,level11: 0.20 (0.06%)
ancientEnv,primordialEco,level12: 0.20 (0.06%)
ancientEnv,primordialEco,level13: 0.30 (0.10%)
ancientEnv,primordialEco,level14: 0.20 (0.06%)
ancientEnv,primordialEco,ReenuRace: 0.90 (0.30%)
ancientEnv,primordialEco,ReenuRace,level11: 0.10 (0.03%)
ancientEnv,primordialEco,ReenuRace,level12: 0.10 (0.03%)
ancientEnv,primordialEco,ReenuRace,level13: 0.30 (0.10%)
ancientEnv,primordialEco,ReenuRace,level14: 0.10 (0.03%)
ancientEnv,primordialEco,TesiphonRace: 0.20 (0.06%)
ancientEnv,primordialEco,TesiphonRace,ReenuRace: 0.20 (0.06%)
ancientEnv,ReenuRace: 5.80 (1.93%)
ancientEnv,ReenuRace,level11: 1.40 (0.46%)
ancientEnv,ReenuRace,level12: 1.50 (0.50%)
ancientEnv,ReenuRace,level13: 1.30 (0.43%)
ancientEnv,ReenuRace,level14: 0.80 (0.26%)
ancientEnv,ReenuRace,level15: 0.20 (0.06%)
ancientEnv,TesiphonRace: 2.30 (0.76%)
ancientEnv,TesiphonRace,GromeRace: 0.10 (0.03%)
ancientEnv,TesiphonRace,GromeRace,level11: 0.10 (0.03%)
ancientEnv,TesiphonRace,JaxRace: 1.50 (0.50%)
ancientEnv,TesiphonRace,JaxRace,level11: 0.60 (0.20%)
ancientEnv,TesiphonRace,JaxRace,level12: 0.10 (0.03%)
ancientEnv,TesiphonRace,JaxRace,level13: 0.10 (0.03%)
ancientEnv,TesiphonRace,level11: 0.90 (0.30%)
ancientEnv,TesiphonRace,level12: 0.20 (0.06%)
ancientEnv,TesiphonRace,level13: 0.20 (0.06%)
ancientEnv,TesiphonRace,ReenuRace: 0.70 (0.23%)
ancientEnv,TesiphonRace,ReenuRace,level11: 0.20 (0.06%)
ancientEnv,TesiphonRace,ReenuRace,level12: 0.10 (0.03%)
ancientEnv,TesiphonRace,ReenuRace,level13: 0.10 (0.03%)
ancientEnv,TorQuanRace: 5.10 (1.70%)
ancientEnv,TorQuanRace,GromeRace: 2.10 (0.70%)
ancientEnv,TorQuanRace,GromeRace,level11: 0.90 (0.30%)
ancientEnv,TorQuanRace,GromeRace,level12: 0.60 (0.20%)
ancientEnv,TorQuanRace,GromeRace,level13: 0.10 (0.03%)
