level	name	driveImage	entity	shiptable	unid
5	Atonement-class heavy gunship	Image	scAtonement		0x08030083
5	Wolfen-class gunship	Image	scWolfenG5		0x00143019
5	heavy IAV	Image	scIAVHeavy		0x0010300a
5	Manticore-class heavy gunship	Image	scManticoreG4		0x00143015
6	pirate ship Kronosaurus	none	scCharonFrigateKronosaurus		0x00163005
6	Britannia-class heavy gunship	Image	scBritannia		0x001a3007
6	Centurion-class heavy gunship	Image	scCenturion		0x00103001
6	Centurion-class heavy gunship	Image	scCenturionG5		0x0014301b
6	Molotok bounty hunter	Image	scMolotok		0x00173001
6	Urak destroyer	none	scUrakDestroyer		0x08030145
6	Huygens Explorer	none	scHuygensExplorer		0x001c3005
6	Mikeno-class destroyer	none	scMikeno		0x00003007
6	Volkov	Image	scWolfenVolkov		0x00153009
6	EI500-class freighter	Image	scEI500G5		0x00143014
6	Dwarg master	Image	scDwargMaster		0x08020144
6	Ares sentry	none	scAresCannon		0x001b3002
6	Sandstorm-class gunship	Image	scSandstorm		0x001b3001
6	Manticore-class heavy gunship	Image	scManticoreG5		0x00143016
6	Wolfen-class gunship	Image	scWolfenG6		0x0014301a
6	Kobol gunship	Image	scKobolGunshipOmniTeV9		0x08020082
7	Zoanthrope behemoth	none	scDwargBehemoth		0x08020145
7	Earth Slaver	none	scEarthSlaver		0x00193004
7	Centurion-class heavy gunship	Image	scCenturionG6		0x0014301c
7	Aurochs-class mine layer	none	scRogueMineLayer		0x080300c2
7	Xenophobe defender	none	scXenophobeDefender		0x08010083
7	Kobol gunship	Image	scKobolGunshipDualTeV9		0x08020081
7	Luminous drone	none	scLuminousDrone		0x080200c1
7	Hurin-class destroyer	none	scHurinDestroyer		0x08020101
7	Aurochs-class transport	none	scAurochs		0x00103005
7	Earth Slaver	none	scCarrierEarthSlaver		0x00193006
7	Polar-class freighter	none	scPolar		0x001b3003
7	Manticore-class heavy gunship	Image	scManticoreG6		0x00143017
7	Tripoli-class destroyer	none	scTripoli		0x08030043
7	Centurion/X-class heavy gunship	Image	scCenturionX		0x00103004
7	Manticore-class heavy gunship	Image	scManticore		0x0010300b
7	Ranx dreadnought	none	scRanxDreadnought		0x080400c3
7	Kobol gunship	Image	scKobolGunshipMissiles		0x08020083
8	freighter Forking Paths	Image	scEI500JuanCarlos		0x001a3006
8	Tundra-class heavy gunship	Image	scTundra		0x001b3004
8	The Slicer	Image	scTheSlicerManticore		0x0014301d
8	Rama	Image	scCenturionRama		0x00103003
8	Polar II-class freighter	none	scPolar2		0x001b3009
8	Ventari destroyer	none	scVentariCruiser		0x080100c1
8	Cometfall-class missileship	none	scCometfall		0x001b3005
9	Chasm-class heavy gunship	Image	scChasm		0x001b3006
9	Dragon Slaver	none	scDragonSlaver		0x00193005
9	Deimos-class destroyer	none	scDeimos		0x001b3007
9	Ferian warrior	none	scFerianWarrior		0x08040102
9	Corporate cruiser	none	scCorporateCruiser		0x00153001
9	Kate Morgental	none	scKateMorgentalCruiser		0x0015300b
9	Svalbard Explorer	none	scSvalbardExplorer		0x001c3002
9	Commonwealth Star Carrier	none	scCSCHospital		0x001a3001
9	Commonwealth Star Carrier	none	scCSCTaskForce		0x001a3002
9	Gaian processor	none	scGaianProcessor		0x08040141
10	Xenophobe worldship	none	scXenophobeWorldship		0x08010084
10	Aquila-class cruiser	none	scAquilaCruiser		0x001a3003
10	Commonwealth Star Carrier	none	scCSCAntarctica		0x001a3005
10	Iocrym sentinel	none	scIocrymSentinel		0x001c3004
10	Phobos-class dreadnought	none	scPhobos		0x001b3008
11	Commonwealth Star Carrier	none	scCSCTerra		0x001a3004
12	Xenophobe ark	none	scXenophobeArk		0x08010085
13	Iocrym command ship	none	scIocrymCommandShip		0x001c3001

