TransData v1.8
Copyright (c) 2001-2010 by George Moromisato. All Rights Reserved.

Loading...done.
level	category	frequency	shortName	balanceDamage	power	damage	range
7	Weapon	R	ion disruptor	473	80.0	315	60
7	Launcher	R	NM900 external missile pod	473	0.5	900	96
7	Weapon	R	omnidirectional TeV 9 blaster	1621	40.0	405	80
7	Weapon	R	Xenophobe ion lancer	473	65.0	619	120
8	Weapon	C	Fusionfire howitzer	911	100.0	540	120
8	Weapon	C	ion blaster	911	150.0	630	60
8	Weapon	UC	Ares micronuke cannon	911	20.0	59	216
8	Weapon	UC	ion flame cannon	911	100.0	551	40
8	Weapon	UC	omnidirectional thermo cannon	911	8.0	585	120
8	Launcher	UC	Rasiermesser launcher	911	5.0	585	168
8	Weapon	UC	TM7 multitarget cannon	911	5.0	675	9
8	Launcher	R	Ares launcher	911	20.0	117	288
8	Weapon	VR	Ares lightning turret	911	100.0	1440	80
8	Weapon	VR	Hecates cannon	911	100.0	540	120
8	Weapon	NR	Dvalin Ion9 cannon	911	120.0	900	60
9	Weapon	C	heavy ion blaster	1772	250.0	882	60
9	Weapon	UC	advanced tritium cannon	1772	200.0	1800	48
9	Weapon	UC	Ares positron cannon	748	200.0	405	96
9	Launcher	UC	NAMI heavy launcher	1772	10.0	1053	12
9	Weapon	R	Kytryn blaster	748	200.0	439	64
9	Weapon	R	omnidirectional ion blaster	1772	120.0	394	60
9	Weapon	VR	Gaian demolition cannon	1772	350.0	468	60
9	Weapon	NR	Ferian plasma cannon	748	300.0	600	48
9	Weapon	NR	Qianlong archcannon	417	10.0	585	90
10	Weapon	R	IM90 multitarget blaster	3550	300.0	1181	60
10	Launcher	R	Kytryn launcher	1035	20.0	3159	288
10	Weapon	R	plasma cannon	1035	300.0	585	48
10	Weapon	R	positron lancer	1035	350.0	810	61
10	Weapon	VR	Ares plasma archcannon	1035	300.0	351	78
10	Weapon	VR	Iocrym Fracture cannon	1035	300.0	2250	19
10	Weapon	VR	Iocrym repeller	1035	300.0	936	13
10	Weapon	NR	Lamplighter archcannon	673	200.0	878	60
10	Weapon	NR	Project Lamplighter prototype	673	300.0	585	48
12	Weapon	R	Iocrym Avalanche cannon	3949	600.0	4500	19
13	Weapon	VR	Quantumsphere disintegrator	2273	800.0	194	108

