Level	System	Item	Count
1	5 Indi	mark I howitzer	0.04
1	5 Indi	laser collimator	0.14
1	5 Indi	Yoroi S100 shield generator	0.14
1	5 Indi	Gusoku armor	0.02
1	5 Indi	blinder cannon	0.07
1	5 Indi	monopole deflector screen	0.68
1	5 Indi	Shuriken neutron blaster	0.04
1	5 Indi	Nandao bolt cartridge	35.20
1	5 Indi	light meteorsteel	0.17
1	5 Indi	heavy meteorsteel	0.04
1	5 Indi	worldship armor plate	0.04
1	5 Indi	omnidirectional particle cannon	0.02
1	5 Indi	AutoSentinel®	0.19
1	5 Indi	300D defender auton	0.01
1	5 Indi	blue cash card	0.02
1	5 Indi	defective auton	0.03
1	5 Indi	artificial plasma	0.05
1	5 Indi	R1 deflector	0.08
1	5 Indi	PK25 Morning Star cannon	0.03
1	5 Indi	uranium ore	0.14
1	5 Indi	helium regolith	0.31
1	5 Indi	cobalt-thorium ore	0.12
1	5 Indi	xenotite ore	0.11
1	5 Indi	Booster	0.23
1	5 Indi	Nova-25 reactor	0.13
1	5 Indi	defective weapon enhancement ROM	0.01
1	5 Indi	omnidirectional turbolaser cannon	0.02
1	5 Indi	heavy slam cannon	0.05
1	5 Indi	Makayev launcher	0.03
1	5 Indi	White Strelka missile	2.72
1	5 Indi	Akan 30 ammunition box	0.02
1	5 Indi	White Strelka ammunition box	0.02
1	5 Indi	contaminated ammunition box	0.01
1	5 Indi	advanced plasteel armor	0.03
1	5 Indi	light orthosteel armor	0.01
1	5 Indi	ceralloy armor	0.25
1	5 Indi	heavy ceralloy armor	0.06
1	5 Indi	light blast plate	0.14
1	5 Indi	ceralloy ore	0.08
1	5 Indi	Nephren P25 shield generator	0.10
1	5 Indi	particle resistance coating	0.24
1	5 Indi	anti-radiation coating	0.01
1	5 Indi	monopole dust	0.03
1	5 Indi	digital wrist computer	0.05
1	5 Indi	xenotite fuel rod	0.13
1	5 Indi	Mammoth 25MW deflector	0.01
1	5 Indi	light Tharsis plate	0.06
5	55 Cancri	Heliotrope fuel cylinder	0.86
5	55 Cancri	Luminous armature	0.03
5	55 Cancri	light titanium armor	0.02
5	55 Cancri	heavy reactive armor	0.02
5	55 Cancri	Duralloy armor	0.03
5	55 Cancri	plasteel armor	0.06
5	55 Cancri	heavy plasteel armor	0.10
5	55 Cancri	particle beam weapon	0.04
5	55 Cancri	KM100 Longbow missile	5.39
5	55 Cancri	dual laser cannon	0.01
5	55 Cancri	KM500 Stiletto missile	2.70
5	55 Cancri	XM900 Lucifer missile	0.67
5	55 Cancri	heavy ceramic armor	0.01
5	55 Cancri	kiloton cannon shell	0.13
5	55 Cancri	Scramble1.5 algorithm cube	0.02
5	55 Cancri	Heisenmachines quantum CPU	0.03
5	55 Cancri	hydrocarbons	0.55
5	55 Cancri	water ice	1.47
5	55 Cancri	frozen supplies	0.79
5	55 Cancri	plasteel ore	0.06
5	55 Cancri	spool of carbon fiber	0.06
5	55 Cancri	Duralloy ore	0.17
5	55 Cancri	medical supplies	0.24
5	55 Cancri	pteracnium ore	0.48
5	55 Cancri	uranium rod	0.07
5	55 Cancri	biofactor paste	0.01
5	55 Cancri	roll of hyperfiber	0.10
5	55 Cancri	platinum ore	0.05
5	55 Cancri	class III deflector	0.01
5	55 Cancri	Trenton field generator	0.01
5	55 Cancri	helium³ fuel rod	9.08
5	55 Cancri	carbon-weaver nanos	0.03
5	55 Cancri	degenerating nanos	0.03
5	55 Cancri	organic acid	0.12
5	55 Cancri	regenerating nanos	0.02
5	55 Cancri	shield enhancement ROM	0.01
5	55 Cancri	system map ROM	0.03
5	55 Cancri	Titan 440 fusion drive	0.04
5	55 Cancri	ceramic armor	0.01
5	55 Cancri	fragmentation missile	7.69
5	55 Cancri	light plasteel armor	0.13
5	55 Cancri	Rasiermesser SmartCannon	0.03
5	55 Cancri	SmartCannon round	11.03
5	55 Cancri	DK10 Arbalest cannon	0.02
5	55 Cancri	heavy titanium armor	0.05
5	55 Cancri	turbolaser cannon	0.02
5	55 Cancri	dual particle beam weapon	0.03
5	55 Cancri	Flenser relativistic cannon	0.01
5	55 Cancri	polyceramic armor	0.41
5	55 Cancri	Tevlar-composite armor	0.23
5	55 Cancri	small armor patch	0.04
5	55 Cancri	large armor patch	0.14
5	55 Cancri	MAG launcher	0.06
5	55 Cancri	400 Hexagene MAG	14.84
5	55 Cancri	600 Hexagene MAG	15.35
5	55 Cancri	800F Hexagene MAG	8.68
5	55 Cancri	ZG24 Cluster MAG	0.34
5	55 Cancri	3K Siege MAG	0.04
5	55 Cancri	high-flux MAG	0.06
5	55 Cancri	dual turbolaser cannon	0.02
5	55 Cancri	EMP cannon	0.02
5	55 Cancri	advanced reactive armor	0.04
5	55 Cancri	hardened plasteel armor	0.15
5	55 Cancri	solar armor	0.04
5	55 Cancri	superconducting coil	0.03
5	55 Cancri	heavy recoilless cannon	0.03
5	55 Cancri	grade B grains	0.01
5	55 Cancri	cask of Venusian Hellas rum	0.03
5	55 Cancri	frozen beef cylinders	0.04
5	55 Cancri	Charles River sparkling water	0.05
5	55 Cancri	grade A grains	0.14
5	55 Cancri	frozen synthetic chicken	0.06
5	55 Cancri	Australian Chardonnay	0.06
5	55 Cancri	frozen megathere meat	0.12
5	55 Cancri	neolinen business suit	0.01
5	55 Cancri	palladium ore	0.06
5	55 Cancri	Centauri rice	0.09
5	55 Cancri	Kobe spring water	0.07
5	55 Cancri	silk	0.01
5	55 Cancri	Bombay Sapphire gin	0.03
5	55 Cancri	California Cabernet Sauvignon	0.04
5	55 Cancri	Terran eggs	0.11
5	55 Cancri	Misato sake	0.05
5	55 Cancri	Exile Starport Champagne	0.07
5	55 Cancri	Hennessy cognac	0.04
5	55 Cancri	frozen natural ham	0.11
5	55 Cancri	longzhu sphere	0.03
5	55 Cancri	Qianlong archcannon	0.01
5	55 Cancri	natural periweed	0.17
5	55 Cancri	genuine leather boots	0.07
5	55 Cancri	quad titanium barricade	0.02
5	55 Cancri	helium³ reactor assembly	3.61
5	55 Cancri	weapon enhancement ROM	0.02
5	55 Cancri	Katana star cannon	0.02
5	55 Cancri	laser cannon array	0.01
5	55 Cancri	slam cannon	0.03
5	55 Cancri	heavy water	0.07
5	55 Cancri	visual display enhancement ROM	0.04
5	55 Cancri	decon gel	0.03
5	55 Cancri	radioactive waste	0.23
5	55 Cancri	blast plate	0.16
5	55 Cancri	Akan 30 cannon	0.06
5	55 Cancri	Akan 30 cannon shell cartridge	23.56
5	55 Cancri	hardened reactive armor	0.13
5	55 Cancri	fusion trigger	0.05
5	55 Cancri	lancer cannon	0.01
5	55 Cancri	mark I howitzer	0.02
5	55 Cancri	Yoroi S100 shield generator	0.01
5	55 Cancri	Yoroi S500 shield generator	0.02
5	55 Cancri	monopole deflector screen	0.01
5	55 Cancri	Nandao bolt cartridge	15.29
5	55 Cancri	mark III howitzer	0.04
5	55 Cancri	heavy meteorsteel	0.03
5	55 Cancri	ICX missile defense turret	0.02
5	55 Cancri	worldship armor plate	0.04
5	55 Cancri	P120 Hexphase armor	0.01
5	55 Cancri	omnidirectional particle cannon	0.04
5	55 Cancri	AutoSentinel®	0.02
5	55 Cancri	300D defender auton	0.01
5	55 Cancri	blue cash card	0.01
5	55 Cancri	defective auton	0.01
5	55 Cancri	hypermycin	0.01
5	55 Cancri	artificial plasma	0.29
5	55 Cancri	rejuv tank fluid	0.01
5	55 Cancri	gem of despair	0.02
5	55 Cancri	plasma torch	0.02
5	55 Cancri	R1 deflector	0.01
5	55 Cancri	PK25 Morning Star cannon	0.02
5	55 Cancri	uranium ore	0.10
5	55 Cancri	helium regolith	0.08
5	55 Cancri	xenotite ore	0.66
5	55 Cancri	chronimium gas	0.31
5	55 Cancri	quantum vacuum	0.07
5	55 Cancri	gram of unlicensed cancer dust	0.03
5	55 Cancri	Nova-25 reactor	0.01
5	55 Cancri	Nova-100 reactor	0.01
5	55 Cancri	omnidirectional turbolaser cannon	0.02
5	55 Cancri	heavy slam cannon	0.06
5	55 Cancri	Makayev launcher	0.03
5	55 Cancri	White Strelka missile	3.11
5	55 Cancri	Green Strelka missile	1.89
5	55 Cancri	Akan 30 ammunition box	0.01
5	55 Cancri	White Strelka ammunition box	0.01
5	55 Cancri	Cluster MAG ammunition box	0.11
5	55 Cancri	contaminated ammunition box	0.03
5	55 Cancri	booby-trapped ammunition box	0.01
5	55 Cancri	ceralloy armor	0.19
5	55 Cancri	heavy ceralloy armor	0.09
5	55 Cancri	advanced ceralloy armor	0.03
5	55 Cancri	light blast plate	0.16
5	55 Cancri	Nephren P25 shield generator	0.01
5	55 Cancri	green etherium field crystal	0.01
5	55 Cancri	yellow etherium field crystal	0.01
5	55 Cancri	decayed etherium field crystal	0.01
5	55 Cancri	molbidium field crystal	0.01
5	55 Cancri	ShieldPower v3.1.8 algorithm cube	0.02
5	55 Cancri	ShieldPower v1.0 algorithm cube	0.01
5	55 Cancri	ShieldEfficiency v1.2.5 algorithm cube	0.01
5	55 Cancri	particle resistance coating	0.08
5	55 Cancri	monopole dust	0.07
5	55 Cancri	ion resistance coating	0.05
5	55 Cancri	meteorsteel dust	0.02
5	55 Cancri	dyon dust	0.05
5	55 Cancri	jinn-khan	0.09
5	55 Cancri	Icelandic salmon	0.01
5	55 Cancri	Neuros personal media player	0.01
5	55 Cancri	digital wrist computer	0.03
5	55 Cancri	crystalline uranium	0.01
5	55 Cancri	neuranase	0.09
5	55 Cancri	xenotite fuel rod	0.28
5	55 Cancri	Mammoth 25MW deflector	0.03
5	55 Cancri	light Tharsis plate	0.04
4	70 Ophiuchi	Heliotrope fuel cylinder	3.44
4	70 Ophiuchi	Luminous thermo shield	0.01
4	70 Ophiuchi	light titanium armor	0.05
4	70 Ophiuchi	heavy reactive armor	0.13
4	70 Ophiuchi	reactive armor	0.16
4	70 Ophiuchi	Duralloy armor	0.13
4	70 Ophiuchi	plasteel armor	1.66
4	70 Ophiuchi	heavy plasteel armor	1.24
4	70 Ophiuchi	laser cannon	0.03
4	70 Ophiuchi	recoilless cannon	0.07
4	70 Ophiuchi	particle beam weapon	0.32
4	70 Ophiuchi	NAMI missile launcher	0.04
4	70 Ophiuchi	KM100 Longbow missile	19.14
4	70 Ophiuchi	dual laser cannon	0.07
4	70 Ophiuchi	dual recoilless cannon	0.04
4	70 Ophiuchi	XM300 Reaper missile	1.11
4	70 Ophiuchi	KM500 Stiletto missile	6.23
4	70 Ophiuchi	x-ray laser cannon	0.02
4	70 Ophiuchi	330M mule auton	0.24
4	70 Ophiuchi	XM900 Lucifer missile	4.65
4	70 Ophiuchi	promethium crystal	0.01
4	70 Ophiuchi	310A aegis auton	0.22
4	70 Ophiuchi	heavy ceramic armor	0.35
4	70 Ophiuchi	kiloton cannon shell	0.87
4	70 Ophiuchi	Scramble1.5 algorithm cube	0.04
4	70 Ophiuchi	Heisenmachines quantum CPU	0.01
4	70 Ophiuchi	titanium ore	0.31
4	70 Ophiuchi	hydrocarbons	3.49
4	70 Ophiuchi	water ice	5.43
4	70 Ophiuchi	frozen supplies	1.77
4	70 Ophiuchi	plasteel ore	0.21
4	70 Ophiuchi	spool of carbon fiber	0.04
4	70 Ophiuchi	Duralloy ore	0.35
4	70 Ophiuchi	medical supplies	0.95
4	70 Ophiuchi	pteracnium ore	3.89
4	70 Ophiuchi	uranium rod	0.38
4	70 Ophiuchi	biofactor paste	0.26
4	70 Ophiuchi	roll of hyperfiber	0.51
4	70 Ophiuchi	gold ore	0.09
4	70 Ophiuchi	platinum ore	0.08
4	70 Ophiuchi	human organ	0.03
4	70 Ophiuchi	Microsaur™	0.01
4	70 Ophiuchi	omnidirectional laser cannon	0.05
4	70 Ophiuchi	class II deflector	0.04
4	70 Ophiuchi	class III deflector	0.03
4	70 Ophiuchi	helium³ fuel rod	44.04
4	70 Ophiuchi	mining laser	0.01
4	70 Ophiuchi	ablative armor coating	0.12
4	70 Ophiuchi	carbon-weaver nanos	0.04
4	70 Ophiuchi	degenerating nanos	0.19
4	70 Ophiuchi	organic acid	0.27
4	70 Ophiuchi	reactive armor coating	0.05
4	70 Ophiuchi	repairing nanos	0.24
4	70 Ophiuchi	armor repair paste	0.21
4	70 Ophiuchi	defective visual display ROM	0.02
4	70 Ophiuchi	shield enhancement ROM	0.05
4	70 Ophiuchi	autopilot ROM	0.01
4	70 Ophiuchi	system map ROM	0.07
4	70 Ophiuchi	tritium propulsion upgrade	0.02
4	70 Ophiuchi	Titan 440 fusion drive	0.06
4	70 Ophiuchi	photo-organic armor	0.01
4	70 Ophiuchi	ceramic armor	0.31
4	70 Ophiuchi	polymesh armor	0.07
4	70 Ophiuchi	Tempus syrette	2.49
4	70 Ophiuchi	bootleg Star Wars 3DV	0.04
4	70 Ophiuchi	Martian nori	1.51
4	70 Ophiuchi	laudanum ampule	1.83
4	70 Ophiuchi	black market identification chip	0.01
4	70 Ophiuchi	titanium armor	0.10
4	70 Ophiuchi	fragmentation missile	6.65
4	70 Ophiuchi	targeting program ROM	0.03
4	70 Ophiuchi	light plasteel armor	0.29
4	70 Ophiuchi	Rasiermesser SmartCannon	0.08
4	70 Ophiuchi	SmartCannon round	48.57
4	70 Ophiuchi	Bolide laser blaster	0.02
4	70 Ophiuchi	DK10 Arbalest cannon	0.10
4	70 Ophiuchi	cannon accelerator	0.08
4	70 Ophiuchi	heavy titanium armor	0.36
4	70 Ophiuchi	turbolaser cannon	0.04
4	70 Ophiuchi	dual particle beam weapon	0.06
4	70 Ophiuchi	Dragonfly missile cartridge	11.54
4	70 Ophiuchi	XMH armor	0.01
4	70 Ophiuchi	Solon shield generator	0.02
4	70 Ophiuchi	Flenser relativistic cannon	0.02
4	70 Ophiuchi	polyceramic armor	0.53
4	70 Ophiuchi	Tevlar-composite armor	1.00
4	70 Ophiuchi	small armor patch	0.24
4	70 Ophiuchi	large armor patch	0.36
4	70 Ophiuchi	MAG launcher	0.14
4	70 Ophiuchi	400 Hexagene MAG	35.77
4	70 Ophiuchi	600 Hexagene MAG	40.59
4	70 Ophiuchi	800F Hexagene MAG	19.81
4	70 Ophiuchi	ZG24 Cluster MAG	2.73
4	70 Ophiuchi	3K Siege MAG	0.02
4	70 Ophiuchi	dual turbolaser cannon	0.02
4	70 Ophiuchi	dual Flenser cannon	0.03
4	70 Ophiuchi	EMP cannon	0.01
4	70 Ophiuchi	cargo hold expansion	0.03
4	70 Ophiuchi	advanced reactive armor	0.18
4	70 Ophiuchi	hardened plasteel armor	0.29
4	70 Ophiuchi	solar armor	0.04
4	70 Ophiuchi	superconducting shield generator	0.03
4	70 Ophiuchi	superconducting coil	0.12
4	70 Ophiuchi	solar panel array	0.02
4	70 Ophiuchi	smuggler's cargo hold	0.03
4	70 Ophiuchi	heavy recoilless cannon	0.14
4	70 Ophiuchi	double titanium barricade	0.21
4	70 Ophiuchi	grade B grains	0.07
4	70 Ophiuchi	Stimuzine muscle-enhancers	0.07
4	70 Ophiuchi	cask of Venusian Hellas rum	0.07
4	70 Ophiuchi	frozen beef cylinders	0.24
4	70 Ophiuchi	Kennebec Salmonite	0.02
4	70 Ophiuchi	Charles River sparkling water	0.22
4	70 Ophiuchi	grade A grains	0.50
4	70 Ophiuchi	neolinen	0.05
4	70 Ophiuchi	Martian Merlot	0.07
4	70 Ophiuchi	frozen synthetic chicken	0.51
4	70 Ophiuchi	Red Nebula beer	0.08
4	70 Ophiuchi	Eridani mineral water	0.14
4	70 Ophiuchi	photocotton	0.13
4	70 Ophiuchi	Australian Chardonnay	0.09
4	70 Ophiuchi	Europan Ice vodka	0.40
4	70 Ophiuchi	frozen megathere meat	0.73
4	70 Ophiuchi	neolinen business suit	0.08
4	70 Ophiuchi	palladium ore	0.43
4	70 Ophiuchi	Segway antigrav platform	0.02
4	70 Ophiuchi	Centauri rice	0.29
4	70 Ophiuchi	Kobe spring water	0.05
4	70 Ophiuchi	silk	0.08
4	70 Ophiuchi	Terran eggs	0.04
4	70 Ophiuchi	frozen Hogei salmon	0.35
4	70 Ophiuchi	dried Europan ice moss	1.53
4	70 Ophiuchi	Misato sake	0.33
4	70 Ophiuchi	Exile Starport Champagne	0.01
4	70 Ophiuchi	Hennessy cognac	0.05
4	70 Ophiuchi	frozen natural ham	0.30
4	70 Ophiuchi	Humagen heart and lungs prosthesis	0.05
4	70 Ophiuchi	natural periweed	0.16
4	70 Ophiuchi	genuine leather boots	0.05
4	70 Ophiuchi	Rowena's Weapons and Armor: Volume I	0.02
4	70 Ophiuchi	Rowena's Weapons and Armor: Volume II	0.03
4	70 Ophiuchi	titanium barricade	0.14
4	70 Ophiuchi	quad titanium barricade	0.07
4	70 Ophiuchi	helium³ reactor assembly	15.00
4	70 Ophiuchi	weapon enhancement ROM	0.04
4	70 Ophiuchi	Katana star cannon	0.17
4	70 Ophiuchi	TK10 Trident cannon	0.08
4	70 Ophiuchi	hull plate ionizer	0.05
4	70 Ophiuchi	fast-fire laser cannon	0.05
4	70 Ophiuchi	AK15 Partisan cannon	0.04
4	70 Ophiuchi	laser cannon array	0.01
4	70 Ophiuchi	slam cannon	0.08
4	70 Ophiuchi	heavy water	0.70
4	70 Ophiuchi	visual display enhancement ROM	0.07
4	70 Ophiuchi	decon gel	0.12
4	70 Ophiuchi	radioactive waste	0.97
4	70 Ophiuchi	blast plate	0.81
4	70 Ophiuchi	Akan 30 cannon	0.10
4	70 Ophiuchi	Akan 30 cannon shell cartridge	47.02
4	70 Ophiuchi	hardened reactive armor	0.39
4	70 Ophiuchi	DM600 missile rack	0.03
4	70 Ophiuchi	fusion trigger	0.59
4	70 Ophiuchi	lancer cannon	0.04
4	70 Ophiuchi	mark I howitzer	0.10
4	70 Ophiuchi	laser collimator	0.02
4	70 Ophiuchi	Yoroi S100 shield generator	0.20
4	70 Ophiuchi	Yoroi S500 shield generator	0.07
4	70 Ophiuchi	Yoroi MX shield generator	0.01
4	70 Ophiuchi	Gusoku armor	0.34
4	70 Ophiuchi	sunflare cannon	0.04
4	70 Ophiuchi	blinder cannon	0.03
4	70 Ophiuchi	monopole deflector screen	0.06
4	70 Ophiuchi	Shuriken neutron blaster	0.06
4	70 Ophiuchi	Nandao bolt cannon	0.01
4	70 Ophiuchi	Nandao bolt cartridge	77.09
4	70 Ophiuchi	Akan 600 turret	0.01
4	70 Ophiuchi	mark III howitzer	0.12
4	70 Ophiuchi	light meteorsteel	0.07
4	70 Ophiuchi	ICX missile defense turret	0.05
4	70 Ophiuchi	worldship armor plate	0.02
4	70 Ophiuchi	gem of contrition	0.01
4	70 Ophiuchi	1M/i battle auton	0.04
4	70 Ophiuchi	transpace jumpdrive	0.01
4	70 Ophiuchi	omnidirectional particle cannon	0.30
4	70 Ophiuchi	AutoSentinel®	0.66
4	70 Ophiuchi	300D defender auton	0.27
4	70 Ophiuchi	1M battle auton	0.16
4	70 Ophiuchi	blue cash card	0.03
4	70 Ophiuchi	gold cash card	0.01
4	70 Ophiuchi	platinum cash card	0.01
4	70 Ophiuchi	defective auton	0.64
4	70 Ophiuchi	hypermycin	0.09
4	70 Ophiuchi	artificial plasma	1.02
4	70 Ophiuchi	rejuv tank fluid	0.08
4	70 Ophiuchi	gem of despair	0.01
4	70 Ophiuchi	optical knowledge array	0.06
4	70 Ophiuchi	plasma torch	0.01
4	70 Ophiuchi	R1 deflector	0.03
4	70 Ophiuchi	PK25 Morning Star cannon	0.02
4	70 Ophiuchi	uranium ore	0.06
4	70 Ophiuchi	helium regolith	0.13
4	70 Ophiuchi	cobalt-thorium ore	0.14
4	70 Ophiuchi	xenotite ore	4.94
4	70 Ophiuchi	chronimium gas	2.24
4	70 Ophiuchi	vessel of boson condensate	0.07
4	70 Ophiuchi	Booster	1.19
4	70 Ophiuchi	gram of unlicensed cancer dust	0.56
4	70 Ophiuchi	Nova-25 reactor	0.04
4	70 Ophiuchi	Nova-100 reactor	0.03
4	70 Ophiuchi	inertialess drive	0.01
4	70 Ophiuchi	death cube	0.01
4	70 Ophiuchi	thermo cannon	0.01
4	70 Ophiuchi	omnidirectional turbolaser cannon	0.03
4	70 Ophiuchi	heavy slam cannon	0.16
4	70 Ophiuchi	Makayev launcher	0.26
4	70 Ophiuchi	White Strelka missile	47.36
4	70 Ophiuchi	Green Strelka missile	22.06
4	70 Ophiuchi	Red Strelka missile	11.59
4	70 Ophiuchi	Akan 30 ammunition box	0.05
4	70 Ophiuchi	White Strelka ammunition box	0.09
4	70 Ophiuchi	Cluster MAG ammunition box	0.11
4	70 Ophiuchi	contaminated ammunition box	0.02
4	70 Ophiuchi	booby-trapped ammunition box	0.01
4	70 Ophiuchi	advanced plasteel armor	0.39
4	70 Ophiuchi	light orthosteel armor	0.08
4	70 Ophiuchi	orthosteel armor	0.02
4	70 Ophiuchi	ceralloy armor	1.08
4	70 Ophiuchi	heavy ceralloy armor	0.08
4	70 Ophiuchi	advanced ceralloy armor	0.09
4	70 Ophiuchi	light blast plate	1.02
4	70 Ophiuchi	heavy blast plate	0.06
4	70 Ophiuchi	ceralloy ore	0.13
4	70 Ophiuchi	orthosteel ore	0.05
4	70 Ophiuchi	Nephren P25 shield generator	0.03
4	70 Ophiuchi	Nephren B700 shield generator	0.01
4	70 Ophiuchi	green etherium field crystal	0.01
4	70 Ophiuchi	decayed etherium field crystal	0.03
4	70 Ophiuchi	molbidium field crystal	0.04
4	70 Ophiuchi	ShieldPower v3.1.8 algorithm cube	0.04
4	70 Ophiuchi	ShieldPower v1.0 algorithm cube	0.03
4	70 Ophiuchi	ShieldEfficiency v1.2.5 algorithm cube	0.03
4	70 Ophiuchi	particle resistance coating	0.17
4	70 Ophiuchi	anti-radiation coating	0.01
4	70 Ophiuchi	monopole dust	0.16
4	70 Ophiuchi	ion resistance coating	0.19
4	70 Ophiuchi	meteorsteel dust	0.01
4	70 Ophiuchi	dyon dust	0.03
